"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "Dart", "C++", "Swift", "XML", "Groovy", "Properties", "HTML", "Kotlin", "comment", "blank", "total"
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\manual_api_order.dart", "Dart", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 12, 15, 183
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\model\User.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 4, 45
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\model\data.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31, 9, 71
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\model\data.g.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 7, 35
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\retro_api_order.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\retrofit\api_client.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 10, 7, 28
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\retrofit\api_client.g.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 8, 48
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\api\retrofit\apis.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 3, 19
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\main.dart", "Dart", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 10, 17, 173
"c:\Users\WOOZIE\AndroidStudioProjects\qr-coffee\qr_coffee\lib\models\album.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
